Debt Outstanding Amount,Fiscal Year
30928911613306.70,2022
28428918570048.60,2021
26945391194615.10,2020
22719401753433.70,2019
21516058183180.20,2018
20244900016053.50,2017
19573444713936.70,2016
18150617666484.30,2015
17824071380733.80,2014
16738183526697.30,2013
16066241407385.80,2012
14790340328557.10,2011
13561623030891.70,2010
11909829003511.70,2009
10024724896912.40,2008
9007653372262.48,2007
8506973899215.23,2006
7932709661723.50,2005
7379052696330.32,2004
6783231062743.62,2003
6228235965597.16,2002
5807463412200.06,2001
5674178209886.86,2000
5656270901615.43,1999
5526193008897.62,1998
5413146011397.34,1997
5224810939135.73,1996
4973982900709.39,1995
4692749910013.32,1994
4411488883139.38,1993
4064620655521.66,1992
3665303351697.03,1991
3233313451777.25,1990
2857430960187.32,1989
2602337712041.16,1988
2350276890953.00,1987
2125302616658.42,1986
1823103000000.00,1985
1572266000000.00,1984
1377210000000.00,1983
1142034000000.00,1982
997855000000.00,1981
907701000000.00,1980
826519000000.00,1979
771544000000.00,1978
698840000000.00,1977
620433000000.00,1976
533189000000.00,1975
475059815731.55,1974
458141605312.09,1973
427260460940.50,1972
398129744455.54,1971
370918706949.93,1970
353720253841.41,1969
347578406425.88,1968
326220937794.54,1967
319907087795.48,1966
317273898983.64,1965
311712899257.30,1964
305859632996.41,1963
298200822720.87,1962
288970938610.05,1961
286330760848.37,1960
284705907078.22,1959
276343217745.81,1958
270527171896.43,1957
272750813649.32,1956
274374222802.62,1955
271259599108.46,1954
266071061638.57,1953
259105178785.43,1952
255221976814.93,1951
257357352351.04,1950
252770359860.33,1949
252292246512.99,1948
258286383108.67,1947
269422099173.26,1946
258682187409.93,1945
201003387221.13,1944
136696090329.90,1943
72422445116.22,1942
48961443535.71,1941
42967531037.68,1940
40439532411.11,1939
37164740315.45,1938
36424613732.29,1937
33778543493.73,1936
28700892624.53,1935
27053141414.48,1934
22538672560.15,1933
19487002444.13,1932
16801281491.71,1931
16185309831.43,1930
16931088484.10,1929
17604293201.43,1928
18511906931.85,1927
19643216315.19,1926
20516193887.90,1925
21250812989.49,1924
22349707365.36,1923
22963381708.31,1922
23977450552.54,1921
25952456406.16,1920
27390970113.12,1919
14592161414.00,1918
5717770279.52,1917
3609244262.16,1916
3058136873.16,1915
2912499269.16,1914
2916204913.66,1913
2868373874.16,1912
2765600606.69,1911
2652665838.04,1910
2639546241.04,1909
2626806271.54,1908
2457188061.54,1907
2337161839.04,1906
2274615063.84,1905
2264003585.14,1904
2202464781.89,1903
2158610445.89,1902
2143326933.89,1901
2136961091.67,1900
1991927306.92,1899
1796531995.90,1898
1817672665.90,1897
1769840323.40,1896
1676120983.25,1895
1632253636.68,1894
1545985686.13,1893
1588464144.63,1892
1545996591.61,1891
1552140204.73,1890
1619052922.23,1889
1692858984.58,1888
1657602592.63,1887
1775063013.78,1886
1863964873.14,1885
1830528923.57,1884
1884171728.07,1883
1918312994.03,1882
2069013569.58,1881
2120415370.63,1880
2349567482.04,1879
2256205892.53,1878
2205301392.10,1877
2180395067.15,1876
2232284531.95,1875
2251690468.43,1874
2234482993.20,1873
2253251328.78,1872
2353211332.32,1871
2480672427.81,1870
2588452213.94,1869
2611687851.19,1868
2678126103.87,1867
2773236173.69,1866
2680647869.74,1865
1815784370.57,1864
1119772138.63,1863
524176412.13,1862
90580873.72,1861
64842287.88,1860
58496837.88,1859
44911881.03,1858
28699831.85,1857
31972537.90,1856
35586956.56,1855
42242222.42,1854
59803117.70,1853
66199341.71,1852
68304796.02,1851
63452773.55,1850
63061858.69,1849
47044862.23,1848
38826534.77,1847
15550202.97,1846
15925303.01,1845
23461652.50,1844
32742922.00,1843
20201226.27,1843
13594480.73,1842
5250875.54,1841
3573343.82,1840
10434221.14,1839
3308124.07,1838
336957.83,1837
37513.05,1836
33733.05,1835
4760082.08,1834
7001698.83,1833
24322235.18,1832
39123191.68,1831
48565406.50,1830
58421413.67,1829
67475043.87,1828
73987357.20,1827
81054059.99,1826
83788432.71,1825
90269777.77,1824
90875877.28,1823
93546676.98,1822
89987427.66,1821
91015566.15,1820
95529648.28,1819
103466633.83,1818
123491965.16,1817
127334933.74,1816
99833660.15,1815
81487846.24,1814
55962827.57,1813
45209737.90,1812
48005587.76,1811
53173217.52,1810
57023192.09,1809
65196317.97,1808
69218398.64,1807
75723270.66,1806
82312150.50,1805
86427120.88,1804
77054686.40,1803
80712632.25,1802
83038050.80,1801
82976294.35,1800
78408669.77,1799
79228529.12,1798
82064479.33,1797
83762172.07,1796
80747587.39,1795
78427404.77,1794
80358634.04,1793
77227924.66,1792
75463476.52,1791
71060508.50,1790
